Step,CC,CD,DC,DD
1,0,1,0,0
2,0,2,0,0
3,0,4,0,0
4,0,9,0,0
5,0,11,0,0
6,0,13,0,0
7,0,16,0,0
8,0,18,0,0
9,0,21,0,0
10,0,23,0,0
11,0,23,0,0
12,0,29,0,0
13,0,31,0,0
14,0,36,0,0
15,0,43,0,0
16,0,48,0,0
17,0,55,0,0
18,0,63,0,0
19,0,69,0,0
20,0,76,0,0
21,0,83,0,0
22,0,99,0,0
23,0,107,0,0
24,0,120,0,0
25,0,133,0,0
26,0,138,0,0
27,0,153,0,0
28,0,175,0,0
29,0,186,0,0
30,0,202,0,0
31,1,225,0,0
32,2,243,0,0
33,2,274,0,1
34,1,280,0,1
35,1,290,0,0
36,1,322,0,0
37,1,347,0,0
38,3,362,0,1
39,2,394,0,1
40,3,423,0,2
41,4,452,0,2
42,4,480,0,3
43,5,518,0,3
44,5,554,0,6
45,5,589,0,8
46,5,628,0,9
47,6,669,0,10
48,8,704,0,11
49,13,750,0,10
50,11,795,0,10
51,10,819,0,10
52,13,844,0,10
53,15,865,0,12
54,12,896,0,13
55,13,928,0,14
56,18,977,0,15
57,19,1013,0,17
58,24,1050,0,19
59,23,1083,0,23
60,22,1134,0,21
61,23,1168,0,26
62,28,1195,0,26
63,28,1211,0,28
64,28,1264,0,26
65,32,1300,0,23
66,36,1349,0,24
67,40,1412,0,24
68,40,1421,0,20
69,43,1469,0,17
70,43,1515,0,19
71,49,1509,0,19
72,54,1555,0,18
73,51,1565,1,16
74,53,1605,0,17
75,52,1656,0,17
76,52,1697,0,17
77,57,1721,1,17
78,64,1750,1,18
79,60,1768,1,19
80,64,1819,1,16
81,62,1819,1,18
82,64,1844,1,15
83,63,1890,0,15
84,70,1933,0,17
85,73,1913,0,21
86,67,1959,0,22
87,64,1924,0,20
88,68,1963,0,22
89,70,1986,0,23
90,77,2008,0,22
91,86,2010,0,18
92,82,2017,0,15
93,82,2006,0,17
94,82,1999,0,18
95,88,1999,0,16
96,86,2057,0,17
97,91,2079,0,14
98,89,2062,0,14
99,93,2082,0,10
100,90,2096,0,10
101,91,2108,0,11
102,93,2104,0,12
103,97,2093,0,14
104,91,2096,0,14
105,97,2103,0,13
106,97,2102,0,13
107,98,2095,0,13
108,96,2141,0,16
109,95,2114,0,12
110,99,2093,0,13
111,105,2112,0,14
112,107,2092,0,17
113,101,2087,0,17
114,97,2081,0,16
115,93,2089,0,15
116,99,2126,1,17
117,101,2096,1,17
